iter	Passed	Remaining
452	1071	1294
453	1074	1291
454	1076	1288
455	1080	1288
456	1082	1286
457	1084	1283
458	1086	1280
459	1088	1277
460	1090	1275
461	1095	1275
462	1097	1273
463	1099	1270
464	1102	1267
465	1104	1265
466	1110	1267
467	1113	1266
468	1116	1263
469	1117	1260
470	1119	1257
471	1121	1254
472	1126	1254
473	1127	1251
474	1129	1248
475	1130	1244
476	1132	1241
477	1133	1238
478	1135	1235
479	1137	1231
480	1141	1231
481	1143	1228
482	1145	1225
483	1146	1222
484	1148	1219
485	1150	1216
486	1153	1215
487	1156	1213
488	1160	1212
489	1162	1209
490	1165	1207
491	1166	1204
492	1170	1203
493	1171	1200
494	1173	1197
495	1174	1193
496	1176	1190
497	1177	1187
498	1179	1184
499	1181	1181
500	1184	1179
501	1186	1176
502	1187	1173
503	1189	1170
504	1190	1167
505	1192	1163
506	1194	1161
507	1198	1160
508	1202	1160
509	1204	1157
510	1205	1153
511	1207	1150
512	1209	1147
513	1210	1144
514	1214	1143
515	1215	1140
516	1217	1137
517	1218	1134
518	1220	1131
519	1222	1128
520	1223	1125
521	1225	1122
522	1228	1120
523	1229	1117
524	1231	1114
525	1233	1111
526	1235	1109
527	1237	1106
528	1241	1105
529	1243	1102
530	1245	1100
531	1247	1097
532	1249	1094
533	1251	1092
534	1256	1092
535	1312	1136
536	1322	1139
537	1324	1137
538	1326	1134
539	1328	1131
540	1330	1128
541	1336	1129
542	1338	1126
543	1340	1123
544	1355	1131
545	1358	1129
546	1360	1126
547	1374	1133
548	1378	1132
549	1392	1138
550	1394	1136
551	1402	1137
552	1404	1135
553	1406	1132
554	1408	1129
555	1414	1129
556	1416	1126
557	1419	1124
558	1454	1147
559	1457	1144
560	1462	1144
561	1464	1141
562	1466	1138
563	1469	1136
564	1477	1137
565	1480	1135
566	1484	1133
567	1487	1131
568	1492	1130
569	1497	1129
570	1499	1126
571	1502	1124
572	1508	1123
573	1510	1121
574	1512	1118
575	1515	1115
576	1517	1112
577	1519	1109
578	1531	1113
579	1539	1114
580	1541	1111
581	1544	1109
582	1546	1106
583	1559	1110
584	1567	1111
585	1573	1111
586	1577	1109
587	1580	1107
588	1582	1103
589	1588	1103
590	1591	1101
591	1593	1098
592	1596	1095
593	1598	1092
594	1604	1091
595	1607	1089
596	1609	1086
597	1613	1084
598	1618	1083
599	1620	1080
600	1623	1077
601	1626	1075
602	1629	1072
603	1635	1072
604	1637	1069
605	1640	1066
606	1643	1063
607	1648	1062
608	1651	1060
609	1655	1058
610	1657	1055
611	1660	1052
612	1664	1050
613	1667	1048
614	1670	1045
615	1678	1046
616	1681	1043
617	1683	1040
618	1697	1044
619	1702	1043
620	1706	1041
621	1712	1040
622	1716	1038
623	1719	1036
624	1721	1033
